2012/1/5,Miami Heat,Atlanta Hawks,116,109
2012/1/5,Portland Trail Blazers,Los Angeles Lakers,107,96
2012/1/5,Sacramento Kings,Milwaukee Bucks,103,100
2012/1/5,San Antonio Spurs,Dallas Mavericks,93,71
2012/1/6,Indiana Pacers,Boston Celtics,87,74
2012/1/6,Atlanta Hawks,Charlotte Bobcats,102,96
2012/1/6,Los Angeles Lakers,Golden State Warriors,97,90
2012/1/6,Cleveland Cavaliers,Minnesota Timberwolves,98,87
2012/1/6,Denver Nuggets,New Orleans Hornets,96,88
2012/1/6,Oklahoma City Thunder,Houston Rockets,109,94
2012/1/6,Chicago Bulls,Orlando Magic,97,83
2012/1/6,Philadelphia 76ers,Detroit Pistons,96,73
2012/1/6,Phoenix Suns,Portland Trail Blazers,102,77
2012/1/6,New Jersey Nets,Toronto Raptors,97,85
2012/1/6,Utah Jazz,Memphis Grizzlies,94,85
2012/1/6,New York Knicks,Washington Wizards,99,96
2012/1/7,Atlanta Hawks,Chicago Bulls,109,94
2012/1/7,Dallas Mavericks,New Orleans Hornets,96,81
2012/1/7,New York Knicks,Detroit Pistons,103,80
2012/1/7,Utah Jazz,Golden State Warriors,88,87
2012/1/7,Oklahoma City Thunder,Houston Rockets,98,95
2012/1/7,Indiana Pacers,Charlotte Bobcats,99,77
2012/1/7,Los Angeles Clippers,Milwaukee Bucks,92,86
2012/1/7,Miami Heat,New Jersey Nets,101,90
2012/1/7,Philadelphia 76ers,Toronto Raptors,97,62
2012/1/7,San Antonio Spurs,Denver Nuggets,121,117
2012/1/8,Los Angeles Lakers,Memphis Grizzlies,90,82
2012/1/8,Oklahoma City Thunder,San Antonio Spurs,108,96
2012/1/8,Phoenix Suns,Milwaukee Bucks,109,93
2012/1/8,Portland Trail Blazers,Cleveland Cavaliers,98,78
2012/1/8,Orlando Magic,Sacramento Kings,104,97
2012/1/8,Minnesota Timberwolves,Washington Wizards,93,72
2012/1/9,Chicago Bulls,Detroit Pistons,92,68
2012/1/9,New Orleans Hornets,Denver Nuggets,94,81
2012/1/9,Atlanta Hawks,New Jersey Nets,106,101
2012/1/9,New York Knicks,Charlotte Bobcats,91,87
2012/1/9,Philadelphia 76ers,Indiana Pacers,96,86
2012/1/9,Toronto Raptors,Minnesota Timberwolves,97,87
2012/1/10,Houston Rockets,Charlotte Bobcats,82,70
2012/1/10,Dallas Mavericks,Detroit Pistons,100,86
2012/1/10,Golden State Warriors,Miami Heat,111,106
2012/1/10,Los Angeles Lakers,Phoenix Suns,99,83
2012/1/10,Oklahoma City Thunder,Memphis Grizzlies,100,95
2012/1/10,Milwaukee Bucks,San Antonio Spurs,106,103
2012/1/10,Chicago Bulls,Minnesota Timberwolves,111,100
2012/1/10,Philadelphia 76ers,Sacramento Kings,112,85
2012/1/10,Portland Trail Blazers,Los Angeles Clippers,105,97
2012/1/10,Utah Jazz,Cleveland Cavaliers,113,105
2012/1/10,Washington Wizards,Toronto Raptors,93,78
2012/1/11,Dallas Mavericks,Boston Celtics,90,85
2012/1/11,Chicago Bulls,Washington Wizards,78,64
2012/1/11,Denver Nuggets,New Jersey Nets,123,115
2012/1/11,Indiana Pacers,Atlanta Hawks,96,84
2012/1/11,Los Angeles Clippers,Miami Heat,95,89
2012/1/11,Oklahoma City Thunder,New Orleans Hornets,95,85
2012/1/11,New York Knicks,Philadelphia 76ers,85,79
2012/1/11,Orlando Magic,Portland Trail Blazers,107,104
2012/1/11,San Antonio Spurs,Houston Rockets,101,95
2012/1/11,Sacramento Kings,Toronto Raptors,98,91
2012/1/11,Los Angeles Lakers,Utah Jazz,90,87
2012/1/12,Atlanta Hawks,Charlotte Bobcats,111,81
2012/1/12,Orlando Magic,Golden State Warriors,117,109
2012/1/12,Memphis Grizzlies,New York Knicks,94,83
2012/1/12,Milwaukee Bucks,Detroit Pistons,102,93
2012/1/12,Cleveland Cavaliers,Phoenix Suns,101,90
2012/1/13,Chicago Bulls,Boston Celtics,88,79
2012/1/13,Detroit Pistons,Charlotte Bobcats,98,81
2012/1/13,Dallas Mavericks,Milwaukee Bucks,102,76
2012/1/13,Denver Nuggets,Miami Heat,117,104
2012/1/13,Houston Rockets,Sacramento Kings,103,89
2012/1/13,Los Angeles Lakers,Cleveland Cavaliers,97,92
2012/1/13,Minnesota Timberwolves,New Orleans Hornets,87,80
2012/1/13,Philadelphia 76ers,Washington Wizards,120,89
2012/1/13,New Jersey Nets,Phoenix Suns,110,103
2012/1/13,San Antonio Spurs,Portland Trail Blazers,99,83
2012/1/13,Indiana Pacers,Toronto Raptors,95,90
2012/1/14,Atlanta Hawks,Minnesota Timberwolves,93,91
2012/1/14,Charlotte Bobcats,Golden State Warriors,112,100
2012/1/14,Chicago Bulls,Toronto Raptors,77,64
2012/1/14,Dallas Mavericks,Sacramento Kings,99,60
2012/1/14,Houston Rockets,Portland Trail Blazers,107,105
2012/1/14,Indiana Pacers,Boston Celtics,97,83
2012/1/14,Los Angeles Clippers,Los Angeles Lakers,102,94
2012/1/14,Memphis Grizzlies,New Orleans Hornets,108,99
2012/1/14,Oklahoma City Thunder,New York Knicks,104,92
2012/1/14,Utah Jazz,New Jersey Nets,107,94
2012/1/14,Philadelphia 76ers,Washington Wizards,103,90
2012/1/15,Utah Jazz,Denver Nuggets,106,96
2012/1/15,Golden State Warriors,Detroit Pistons,99,91
2012/1/15,San Antonio Spurs,Phoenix Suns,102,91
2012/1/16,Atlanta Hawks,Toronto Raptors,93,84
2012/1/16,Oklahoma City Thunder,Boston Celtics,97,88
2012/1/16,Cleveland Cavaliers,Charlotte Bobcats,102,94
2012/1/16,Los Angeles Clippers,New Jersey Nets,101,91
2012/1/16,Los Angeles Lakers,Dallas Mavericks,73,70
2012/1/16,Memphis Grizzlies,Chicago Bulls,102,86
2012/1/16,Minnesota Timberwolves,Sacramento Kings,99,86
2012/1/16,Portland Trail Blazers,New Orleans Hornets,84,77
2012/1/16,Orlando Magic,New York Knicks,102,93
2012/1/16,Philadelphia 76ers,Milwaukee Bucks,94,82
2012/1/16,Houston Rockets,Washington Wizards,114,106
2012/1/17,Chicago Bulls,Phoenix Suns,118,97
2012/1/17,Golden State Warriors,Cleveland Cavaliers,105,95
2012/1/17,Houston Rockets,Detroit Pistons,97,80
2012/1/17,Miami Heat,San Antonio Spurs,120,98
2012/1/17,Denver Nuggets,Milwaukee Bucks,105,95
2012/1/17,Orlando Magic,Charlotte Bobcats,96,89
2012/1/17,Utah Jazz,Los Angeles Clippers,108,79
2012/1/18,Atlanta Hawks,Portland Trail Blazers,92,89
2012/1/18,Boston Celtics,Toronto Raptors,96,73
2012/1/18,Los Angeles Clippers,Dallas Mavericks,91,89
2012/1/18,Minnesota Timberwolves,Detroit Pistons,93,85
2012/1/18,New Jersey Nets,Golden State Warriors,107,100
2012/1/18,Memphis Grizzlies,New Orleans Hornets,93,87
2012/1/18,Phoenix Suns,New York Knicks,91,88
2012/1/18,San Antonio Spurs,Orlando Magic,85,83
2012/1/18,Denver Nuggets,Philadelphia 76ers,108,104
2012/1/18,Sacramento Kings,Indiana Pacers,92,88
2012/1/18,Washington Wizards,Oklahoma City Thunder,105,102
2012/1/19,Houston Rockets,New Orleans Hornets,90,88
2012/1/19,Miami Heat,Los Angeles Lakers,98,87
2012/1/19,Dallas Mavericks,Utah Jazz,94,91
2012/1/20,Phoenix Suns,Boston Celtics,79,71
2012/1/20,Chicago Bulls,Cleveland Cavaliers,114,75
2012/1/20,Memphis Grizzlies,Detroit Pistons,98,81
2012/1/20,Indiana Pacers,Golden State Warriors,94,91
2012/1/20,Minnesota Timberwolves,Los Angeles Clippers,101,98
2012/1/20,Milwaukee Bucks,New York Knicks,100,86
2012/1/20,Orlando Magic,Los Angeles Lakers,92,80
2012/1/20,Philadelphia 76ers,Atlanta Hawks,90,76
2012/1/20,Sacramento Kings,San Antonio Spurs,88,86
2012/1/20,Portland Trail Blazers,Toronto Raptors,94,84
2012/1/20,Denver Nuggets,Washington Wizards,108,104
2012/1/21,Atlanta Hawks,Cleveland Cavaliers,121,94
