2012/10/20,Atlanta Falcons,Tampa Bay Buccaneers,31,23
2012/10/20,Pittsburgh Steelers,Baltimore Ravens,19,16
2012/10/20,Dallas Cowboys,Philadelphia Eagles,17,3
2012/10/20,Kansas City Chiefs,Houston Texans,17,16
2012/10/20,San Francisco 49ers,Tennessee Titans,31,17
2012/10/20,Cincinnati Bengals,Detroit Lions,27,24
2012/10/20,San Diego Chargers,Jacksonville Jaguars,24,6
2012/10/20,Green Bay Packers,Cleveland Browns,31,13
2012/10/20,Buffalo Bills,Miami Dolphins,23,21
2012/10/20,New York Jets,New England Patriots,30,27
2012/10/20,Washington Redskins,Chicago Bears,45,41
2012/10/20,Indianapolis Colts,Denver Broncos,39,33
2012/10/21,New York Giants,Minnesota Vikings,23,7
2012/10/24,Carolina Panthers,Tampa Bay Buccaneers,31,13
2012/10/27,Oakland Raiders,Pittsburgh Steelers,21,18
2012/10/27,New England Patriots,Miami Dolphins,27,17
2012/10/27,Green Bay Packers,Minnesota Vikings,44,31
2012/10/27,Arizona Cardinals,Atlanta Falcons,27,13
2012/10/27,Denver Broncos,Washington Redskins,45,21
2012/10/27,Cincinnati Bengals,New York Jets,49,9
2012/10/27,New Orleans Saints,Buffalo Bills,35,17
2012/10/27,Kansas City Chiefs,Cleveland Browns,23,17
2012/10/27,Detroit Lions,Dallas Cowboys,31,30
2012/10/27,New York Giants,Philadelphia Eagles,15,7
2012/10/27,San Francisco 49ers,Jacksonville Jaguars,42,10
2012/10/28,Seattle Seahawks,St. Louis Rams,14,9
2012/10/31,Miami Dolphins,Cincinnati Bengals,22,20
2012/11/3,Tennessee Titans,St. Louis Rams,28,21
2012/11/3,Carolina Panthers,Atlanta Falcons,34,10
2012/11/3,New York Jets,New Orleans Saints,26,20
2012/11/3,Indianapolis Colts,Houston Texans,27,24
2012/11/3,Washington Redskins,San Diego Chargers,30,24
2012/11/3,Dallas Cowboys,Minnesota Vikings,27,23
2012/11/3,Seattle Seahawks,Tampa Bay Buccaneers,27,24
2012/11/3,Cleveland Browns,Baltimore Ravens,24,18
2012/11/3,New England Patriots,Pittsburgh Steelers,55,31
2012/11/3,Kansas City Chiefs,Buffalo Bills,23,13
2012/11/3,Philadelphia Eagles,Oakland Raiders,49,20
2012/11/4,Chicago Bears,Green Bay Packers,27,20
2012/11/7,Minnesota Vikings,Washington Redskins,34,27
2012/11/10,Arizona Cardinals,Houston Texans,27,24
2012/11/10,Jacksonville Jaguars,Tennessee Titans,29,27
2012/11/10,Carolina Panthers,San Francisco 49ers,10,9
2012/11/10,Denver Broncos,San Diego Chargers,28,20
2012/11/10,Philadelphia Eagles,Green Bay Packers,27,13
2012/11/10,Detroit Lions,Chicago Bears,21,19
2012/11/10,New York Giants,Oakland Raiders,24,20
2012/11/10,St. Louis Rams,Indianapolis Colts,38,8
2012/11/10,Seattle Seahawks,Atlanta Falcons,33,10
2012/11/10,Baltimore Ravens,Cincinnati Bengals,20,17
2012/11/10,Pittsburgh Steelers,Buffalo Bills,23,10
2012/11/10,New Orleans Saints,Dallas Cowboys,49,17
2012/11/11,Tampa Bay Buccaneers,Miami Dolphins,22,19
2012/11/14,Indianapolis Colts,Tennessee Titans,30,27
2012/11/17,New Orleans Saints,San Francisco 49ers,23,20
2012/11/17,New York Giants,Green Bay Packers,27,13
2012/11/17,Tampa Bay Buccaneers,Atlanta Falcons,41,28
2012/11/17,Pittsburgh Steelers,Detroit Lions,37,27
2012/11/17,Chicago Bears,Baltimore Ravens,23,20
2012/11/17,Oakland Raiders,Houston Texans,28,23
2012/11/17,Miami Dolphins,San Diego Chargers,20,16
2012/11/17,Seattle Seahawks,Minnesota Vikings,41,20
2012/11/17,Arizona Cardinals,Jacksonville Jaguars,27,14
2012/11/17,Denver Broncos,Kansas City Chiefs,27,17
2012/11/17,Philadelphia Eagles,Washington Redskins,24,16
2012/11/17,Cincinnati Bengals,Cleveland Browns,41,20
2012/11/17,Buffalo Bills,New York Jets,37,14
2012/11/18,Carolina Panthers,New England Patriots,24,20
2012/11/21,New Orleans Saints,Atlanta Falcons,17,13
2012/11/24,Minnesota Vikings,Green Bay Packers,26,26
2012/11/24,Arizona Cardinals,Indianapolis Colts,40,11
2012/11/24,Carolina Panthers,Miami Dolphins,20,16
2012/11/24,Jacksonville Jaguars,Houston Texans,13,6
2012/11/24,St. Louis Rams,Chicago Bears,42,21
2012/11/24,Baltimore Ravens,New York Jets,19,3
2012/11/24,San Diego Chargers,Kansas City Chiefs,41,38
2012/11/24,New England Patriots,Denver Broncos,34,31
2012/11/24,Dallas Cowboys,New York Giants,24,21
2012/11/24,Tennessee Titans,Oakland Raiders,23,19
2012/11/24,Tampa Bay Buccaneers,Detroit Lions,24,21
2012/11/24,Pittsburgh Steelers,Cleveland Browns,27,11
2012/11/25,San Francisco 49ers,Washington Redskins,27,6
2012/11/28,Detroit Lions,Green Bay Packers,40,10
2012/11/28,Dallas Cowboys,Oakland Raiders,31,24
2012/11/28,Baltimore Ravens,Pittsburgh Steelers,22,20
2012/12/1,Miami Dolphins,New York Jets,23,3
2012/12/1,Denver Broncos,Kansas City Chiefs,35,28
2012/12/1,Indianapolis Colts,Tennessee Titans,22,14
2012/12/1,San Francisco 49ers,St. Louis Rams,23,13
2012/12/1,Jacksonville Jaguars,Cleveland Browns,32,28
2012/12/1,New England Patriots,Houston Texans,34,31
2012/12/1,Philadelphia Eagles,Arizona Cardinals,24,21
2012/12/1,New York Giants,Washington Redskins,24,17
2012/12/1,Atlanta Falcons,Buffalo Bills,34,31
2012/12/1,Cincinnati Bengals,San Diego Chargers,17,10
