org.apache.hbase.hbase-client-0.98.6.1-hadoop2.jar,org.apache.hbase,hbase-client
org.apache.hbase.hbase-common-0.96.2-hadoop2.jar,org.apache.hbase,hbase-common
org.apache.hbase.hbase-common-0.98.6.1-hadoop2.jar,org.apache.hbase,hbase-common
org.apache.hbase.hbase-protocol-0.96.2-hadoop2.jar,org.apache.hbase,hbase-protocol
org.apache.hbase.hbase-protocol-0.98.6.1-hadoop2.jar,org.apache.hbase,hbase-protocol
org.apache.hbase.hbase-server-0.96.2-hadoop2.jar,org.apache.hbase,hbase-server
org.apache.hbase.hbase-server-0.98.6.1-hadoop2.jar,org.apache.hbase,hbase-server
org.apache.hive.hive-jdbc-0.13.0.jar,org.apache.hive,hive-jdbc
org.apache.hive.hive-metastore-0.13.0.jar,org.apache.hive,hive-metastore
org.apache.hive.hive-service-0.13.0.jar,org.apache.hive,hive-service
org.apache.httpcomponents.httpclient-4.2.5.jar,org.apache.httpcomponents,httpclient
org.apache.httpcomponents.httpcore-4.2.5.jar,org.apache.httpcomponents,httpcore
org.apache.kafka.kafka_2.10-0.8.0.jar,org.apache.kafka,kafka_2.10
org.apache.spark.spark-core_2.10-1.2.0.jar,org.apache.spark,spark-core_2.10
org.apache.thrift.libthrift-0.9.0.jar,org.apache.thrift,libthrift
org.apache.twill.twill-api-0.4.0-incubating.jar,org.apache.twill,twill-api
org.apache.twill.twill-common-0.4.0-incubating.jar,org.apache.twill,twill-common
org.apache.twill.twill-core-0.4.0-incubating.jar,org.apache.twill,twill-core
org.apache.twill.twill-discovery-api-0.4.0-incubating.jar,org.apache.twill,twill-discovery-api
org.apache.twill.twill-discovery-core-0.4.0-incubating.jar,org.apache.twill,twill-discovery-core
org.apache.twill.twill-yarn-0.4.0-incubating.jar,org.apache.twill,twill-yarn
org.apache.twill.twill-zookeeper-0.4.0-incubating.jar,org.apache.twill,twill-zookeeper
org.eclipse.jetty.jetty-jaspi-8.1.15.v20140411.jar,org.eclipse.jetty,jetty-jaspi
org.eclipse.jetty.jetty-plus-8.1.15.v20140411.jar,org.eclipse.jetty,jetty-plus
org.eclipse.jetty.jetty-security-8.1.15.v20140411.jar,org.eclipse.jetty,jetty-security
org.eclipse.jetty.jetty-server-8.1.15.v20140411.jar,org.eclipse.jetty,jetty-server
org.eclipse.jetty.jetty-util-8.1.15.v20140411.jar,org.eclipse.jetty,jetty-util
org.iq80.leveldb.leveldb-0.6.jar,org.iq80.leveldb,leveldb
org.jboss.resteasy.resteasy-guice-3.0.8.Final.jar,org.jboss.resteasy,resteasy-guice
org.jboss.resteasy.resteasy-servlet-initializer-3.0.8.Final.jar,org.jboss.resteasy,resteasy-servlet-initializer
org.ow2.asm.asm-all-4.0.jar,org.ow2.asm,asm-all
org.quartz-scheduler.quartz-2.2.0.jar,org.quartz-scheduler,quartz
org.quartz-scheduler.quartz-jobs-2.2.0.jar,org.quartz-scheduler,quartz-jobs
org.slf4j.slf4j-api-1.7.5.jar,org.slf4j,slf4j-api
